moment,q0,q10,q50,q90,q100,corrected
2019-03-19T00:00Z,-8.8247088265228264,-8.81800262687835534,-8.79582266335678042,-8.45218030573806622,-7.93265850868225009,-8.69672475843397486
2019-03-20T00:00Z,-8.87115482008361766,-8.85493655376128963,-8.78793404557800173,-8.20241445617828191,-7.83981163607787934,-8.66112457616360842
2019-03-21T00:00Z,-8.82512759860229501,-8.82415636029891992,-8.80829111227798478,-7.79875242617187414,-7.22501172616577136,-8.53635479877392278
2019-03-22T00:00Z,-8.82143517112731779,-8.81930024929733314,-8.78607721171188238,-7.5753011348724355,-7.2104635339508043,-8.45611833136447189
2019-03-23T00:00Z,-8.84956964431762572,-8.83959145242919853,-8.80877026340866109,-7.35901186150817566,-6.72933189834594714,-8.42611861469109868
2019-03-24T00:00Z,-8.9097504188232417,-8.90211601456375057,-8.86886591550445402,-8.05591672304229611,-7.55185899923706039,-8.66768065283759093
2019-03-25T00:00Z,-8.96858033037567104,-8.95313109363861059,-8.91309683872222891,-8.19222506271667328,-7.66071024148559587,-8.75562131976461266
2019-03-26T00:00Z,-8.98265613939666707,-8.97963079817123244,-8.9450617722396828,-8.66900298660430835,-8.26059122993469153,-8.87585523529624965
2019-03-27T00:00Z,-9.01821680104827728,-8.99545133384628137,-8.96800783690643222,-8.83799660609207116,-8.55945784487152039,-8.9317703189360298
2019-03-28T00:00Z,-9.04847453931426848,-9.04155526572189316,-9.02396444081497151,-8.93260951377563472,-8.7896948964233399,-9.0007667589158995
2019-03-29T00:00Z,-9.13749482448577766,-9.12208355989379882,-9.09318305852889885,-9.00754950290069445,-8.91972186266326794,-9.0762029984413779
2019-03-30T00:00Z,-9.18312637613677829,-9.16653313567809924,-9.15011214722824029,-9.08688296928787231,-9.05090116073608364,-9.1415837363553063
2019-03-31T00:00Z,-9.19035895703887817,-9.18078342045745899,-9.10220283647537087,-8.87454756810226364,-8.6170190800552362,-9.06080540521772804
2019-04-01T00:00Z,-9.04125714980316175,-9.04023124182891813,-9.03462949883270205,-9.01433527020111036,-9.00695244260406369,-9.02938819654083247
